source_category,src_orders_6mo,src_revenue_6mo,recommended_sku,recommended_name,recommended_price,recommended_categories,item_orders_6mo,item_units_6mo,item_revenue_6mo,llm_valid,llm_confidence,relationship_type,llm_reason
Vehicle Compartment Matting,0,0,GO-4YH1L,Gerber Outerwear Hood for Response Parka,50.0,Apparel | Accessories,0,0,0,False,0.92,unrelated,Hood for a parka is unrelated to vehicle matting.
Vehicle Compartment Matting,0,0,45076,Streamlight Direct Wire 12V DC Mounting Rack for HID LiteBox,49.99,Lights/Flashlights | Hot Sales,0,0,0,True,0.58,complementary,Mounting rack for vehicle lights can be installed alongside matting in the same compartment.
Vehicle Compartment Matting,0,0,25170,Streamlight SL-20XP NiCd Battery,49.99,Lights/Flashlights | Power Equipment,0,0,0,True,0.81,bundle,Battery is a consumable that pairs with vehicle lighting often used with matting.
Vehicle Compartment Matting,0,0,31-002733,Gerber Order Drop Point Knife,49.99,Tools | Knives and Multi Tools,0,0,0,False,0.74,unrelated,Knife is not a direct accessory or common companion to matting.
Thermal Imaging Cameras,0,0,BENCH-7BLKW,Benchmade 7 Hook/Strap Cutter with MOLLE Sheath,50.0,Tools | Knives and Multi Tools,0,0,0,True,0.62,accessory,"Strap cutter can be used to trim mounting straps for cameras, a useful field accessory."
Thermal Imaging Cameras,0,0,GO-4YH1L,Gerber Outerwear Hood for Response Parka,50.0,Apparel | Accessories,0,0,0,False,0.92,unrelated,Hood for a parka is unrelated to camera equipment.
Thermal Imaging Cameras,0,0,45076,Streamlight Direct Wire 12V DC Mounting Rack for HID LiteBox,49.99,Lights/Flashlights | Hot Sales,0,0,0,False,0.88,unrelated,"Mounting rack is for a specific light, not a camera."
Thermal Imaging Cameras,0,0,25170,Streamlight SL-20XP NiCd Battery,49.99,Lights/Flashlights | Power Equipment,0,0,0,True,0.84,accessory,Battery is a consumable power source that many thermal cameras use or can be compatible with.
Thermal Imaging Cameras,0,0,31-002733,Gerber Order Drop Point Knife,49.99,Tools | Knives and Multi Tools,0,0,0,True,0.66,complementary,"Knife useful for field tasks like opening cases or cutting straps, often bought with camera kits."
Agricultural Rescue,0,0,BENCH-7BLKW,Benchmade 7 Hook/Strap Cutter with MOLLE Sheath,50.0,Tools | Knives and Multi Tools,0,0,0,True,0.92,accessory,Hook/strap cutter is a typical MOLLE accessory for rescue gear that may be used to cut straps on jackets or harnesses in agricultural rescue.
Agricultural Rescue,0,0,GO-4YH1L,Gerber Outerwear Hood for Response Parka,50.0,Apparel | Accessories,0,0,0,True,0.88,accessory,"Hood is an add‑on for the Response Parka, a common component of agricultural rescue apparel, making it a logical accessory."
Agricultural Rescue,0,0,45076,Streamlight Direct Wire 12V DC Mounting Rack for HID LiteBox,49.99,Lights/Flashlights | Hot Sales,0,0,0,False,0.65,unrelated,"Mounting rack for a HID LiteBox is a lighting component, not directly tied to agricultural rescue gear, so the link is weak."
Agricultural Rescue,0,0,25170,Streamlight SL-20XP NiCd Battery,49.99,Lights/Flashlights | Power Equipment,0,0,0,True,0.95,accessory,NiCd battery is a consumable for Streamlight lights that rescue teams frequently use; batteries are classic upsell items.
Agricultural Rescue,0,0,31-002733,Gerber Order Drop Point Knife,49.99,Tools | Knives and Multi Tools,0,0,0,True,0.8,complementary,"Drop‑point knife is a versatile tool useful for cutting vegetation or straps in agricultural rescue, making it a complementary purchase."
Air Bag Devices,0,0,BENCH-7BLKW,Benchmade 7 Hook/Strap Cutter with MOLLE Sheath,50.0,Tools | Knives and Multi Tools,0,0,0,True,0.92,accessory,"Strap cutter is used to cut seat‑belt or strap ties before deploying an air bag, making it a common accessory."
Air Bag Devices,0,0,GO-4YH1L,Gerber Outerwear Hood for Response Parka,50.0,Apparel | Accessories,0,0,0,False,0.78,unrelated,"Outerwear hood is for a parka, not directly related to air‑bag devices or their typical workflow."
Air Bag Devices,0,0,45076,Streamlight Direct Wire 12V DC Mounting Rack for HID LiteBox,49.99,Lights/Flashlights | Hot Sales,0,0,0,False,0.85,unrelated,Mounting rack is for a HID light; air‑bag devices are pneumatic and don’t require a light mount.
Air Bag Devices,0,0,25170,Streamlight SL-20XP NiCd Battery,49.99,Lights/Flashlights | Power Equipment,0,0,0,False,0.7,unrelated,"Battery powers a flashlight, which is not a required or common accessory for air‑bag kits."
Air Bag Devices,0,0,31-002733,Gerber Order Drop Point Knife,49.99,Tools | Knives and Multi Tools,0,0,0,True,0.88,accessory,"Knife is frequently used to cut straps or debris when setting up an air bag, making it a practical accessory."
Air Hammers,0,0,BENCH-7BLKW,Benchmade 7 Hook/Strap Cutter with MOLLE Sheath,50.0,Tools | Knives and Multi Tools,0,0,0,True,0.82,accessory,Hook/strap cutter is a field tool often used alongside demolition work with air hammers for cutting straps and webbing.
Air Hammers,0,0,GO-4YH1L,Gerber Outerwear Hood for Response Parka,50.0,Apparel | Accessories,0,0,0,False,0.91,unrelated,"Outerwear hood is apparel for a parka, not directly related to the operation or maintenance of air hammers."
Air Hammers,0,0,45076,Streamlight Direct Wire 12V DC Mounting Rack for HID LiteBox,49.99,Lights/Flashlights | Hot Sales,0,0,0,True,0.57,complementary,"Mounting rack for a HID light can be used on a workbench or vehicle where air hammers are employed, providing illumination for the task."
Air Hammers,0,0,25170,Streamlight SL-20XP NiCd Battery,49.99,Lights/Flashlights | Power Equipment,0,0,0,False,0.76,unrelated,"NiCd battery powers Streamlight flashlights, not the pneumatic air hammers, so the link is weak."
Air Hammers,0,0,31-002733,Gerber Order Drop Point Knife,49.99,Tools | Knives and Multi Tools,0,0,0,True,0.63,complementary,A drop‑point knife is a common field tool that can accompany air‑hammer work for cutting or trimming after demolition.
