source_category,src_orders_6mo,src_revenue_6mo,recommended_sku,recommended_name,recommended_price,recommended_categories,item_orders_6mo,item_units_6mo,item_revenue_6mo,llm_valid,llm_confidence,relationship_type,llm_reason
Helmets by Job,46,56854.1,CL-87,Channellock The 87 Rescue Tool,54.95,Custom Designs | Tools,4,4,232.79,True,0.62,complementary,"Helmets by job are commonly purchased for fire/rescue and technical rescue roles, where a rescue tool like the Channellock 87 can be used for forcible entry/extrication tasks. It’s not a direct accessory to a helmet, but it is complementary within the same operational context for many helmet buyers (especially fire/rescue), though less relevant for law enforcement-only helmet purchases."
Helmets by Style,46,56854.1,CL-87,Channellock The 87 Rescue Tool,54.95,Custom Designs | Tools,4,4,232.79,True,0.62,complementary,"Helmets (especially fire/rescue or technical rescue styles) and a rescue/pry tool can be used in the same responder job function and may be purchased together as part of a basic rescue/forcible-entry kit. However, the pairing is not a direct accessory relationship and depends on the helmet being for rescue work rather than industrial hard hats or unrelated helmet styles."
Leather Helmets,42,56387.43,TFS-WP-EDGE-ASST,"TheFireStore Deluxe ""Edge"" Upgraded Wack Pack",33.99,Helmets | Accessories,10,10,339.9,True,0.72,complementary,"Leather helmets are typically purchased by firefighters; a Wack Pack (hydration/rehab support kit) is commonly used in the same fireground/rehab job function and can be a practical add-on for departments equipping crews, though it is not a required accessory to the helmet."
All Leather Helmets,42,56387.43,TFS-WP-EDGE-ASST,"TheFireStore Deluxe ""Edge"" Upgraded Wack Pack",33.99,Helmets | Accessories,10,10,339.9,True,0.72,bundle,"Both items are fire/rescue PPE used by the same job function. A buyer selecting an all-leather fire helmet may also need a complete helmet package/upgrade kit like a Wack Pack to outfit the helmet with common components (e.g., shield/trim/ear covers depending on configuration). It’s a practical add-on/bundle-style upsell rather than a random cross-function suggestion, though overlap depends on whether the helmet is already fully configured."
Leather Helmets,42,56387.43,CL-87,Channellock The 87 Rescue Tool,54.95,Custom Designs | Tools,4,4,232.79,True,0.72,complementary,"Both items are used in the fire/rescue job function: leather helmets are common firefighter PPE, and the Channellock 87 rescue tool is a common forcible entry/utility tool carried on turnout gear. While not a required accessory to the helmet, it is a practical complementary add-on for the same end user and kit."
All Leather Helmets,42,56387.43,CL-87,Channellock The 87 Rescue Tool,54.95,Custom Designs | Tools,4,4,232.79,True,0.68,complementary,"All-leather helmets are typically purchased by fire/rescue personnel, and a rescue/extrication tool like the Channellock 87 is used in the same fire/rescue job function (for forcible entry, prying, light extrication). While not a required accessory to the helmet, it is a practical complementary tool often carried on apparatus or in a kit by the same buyer."
Structural Fire Helmets,38,53729.19,TFS-WP-EDGE-ASST,"TheFireStore Deluxe ""Edge"" Upgraded Wack Pack",33.99,Helmets | Accessories,10,10,339.9,True,0.62,complementary,"A wack pack (helmet wedge/door chock kit) is commonly used by structural firefighters alongside a structural helmet on the fireground, making it a practical same-job-function add-on. It’s not a required helmet accessory, but it is a frequently paired tool for forcible entry/door control and can be a sensible upsell for helmet buyers."
Structural Fire Helmets,38,53729.19,CL-87,Channellock The 87 Rescue Tool,54.95,Custom Designs | Tools,4,4,232.79,True,0.68,complementary,"Both items are used by structural firefighting/rescue crews: a structural fire helmet is core PPE, and a rescue/pry tool can be part of the same turnout/extrication kit. It’s not a required accessory to the helmet, but it is a practical complementary add-on for the same job function."
Cairns Helmets,37,44153.33,TFS-WP-EDGE-ASST,"TheFireStore Deluxe ""Edge"" Upgraded Wack Pack",33.99,Helmets | Accessories,10,10,339.9,True,0.72,complementary,Both items are fire/rescue job-function products. A Cairns helmet buyer (firefighter) commonly also needs a helmet/gear bag to carry and protect the helmet and related PPE; an upgraded Wack Pack fits as a practical carry/storage complement rather than a random add-on.
Cairns Helmets,37,44153.33,CL-87,Channellock The 87 Rescue Tool,54.95,Custom Designs | Tools,4,4,232.79,True,0.72,complementary,"Both items are used in the fire/rescue job function: a Cairns fire helmet is core PPE, and the Channellock 87 rescue tool is a common extrication/forcible-entry tool that may be carried/used by the same firefighter. It’s not a required accessory to the helmet, but it is a practical complementary add-on for a firefighter outfitting for operations."
Top Helmets,37,49611.37,CL-87,Channellock The 87 Rescue Tool,54.95,Custom Designs | Tools,4,4,232.79,True,0.62,complementary,"Both items align with fire/rescue operations: a rescue helmet is core PPE and a Channellock 87 rescue tool is commonly carried/used for forcible entry and extrication tasks. Not a required accessory to the helmet, but a practical complementary tool within the same job function."
MSA Cairns Helmets,36,42600.74,TFS-WP-EDGE-ASST,"TheFireStore Deluxe ""Edge"" Upgraded Wack Pack",33.99,Helmets | Accessories,10,10,339.9,True,0.72,complementary,Both items are used in the same fire/rescue job function. A customer purchasing an MSA Cairns fire helmet may also need a helmet-mounted light/holder package like the Wack Pack to complete the helmet setup for low-light operations. It’s a practical add-on rather than a random cross-category suggestion.
Traditional Leather Helmets,34,47362.31,TFS-WP-EDGE-ASST,"TheFireStore Deluxe ""Edge"" Upgraded Wack Pack",33.99,Helmets | Accessories,10,10,339.9,True,0.74,complementary,"Both items are fire/rescue job-function related. A traditional leather helmet buyer is likely a firefighter who may also need a complete hand-tool/forcible-entry pack; the upgraded Wack Pack is a practical add-on to round out their PPE and operational kit, though it’s not a required helmet accessory."
Traditional Leather Helmets,34,47362.31,CL-87,Channellock The 87 Rescue Tool,54.95,Custom Designs | Tools,4,4,232.79,True,0.72,complementary,"Traditional leather helmets are primarily purchased by fire/rescue personnel, and a rescue/pry tool like the Channellock 87 is commonly used in the same fireground/rescue job function (for forcible entry, prying, light extrication). While not a required accessory to the helmet, it is a practical complementary add-on for the same end user and mission."
Turnout Gear,71,72348.42,MOS-95725,"Mossberg 702 Plinkster, .22LR, 25 Round Magazine & Loader",36.4,,31,52,1590.68,False,0.98,unrelated,"Turnout gear is structural firefighting PPE, while the Mossberg 702 Plinkster is a firearm product for law enforcement/recreational use. They are not used together in the same job function, and a turnout gear buyer would not realistically need a .22LR rifle/magazine as part of a firefighting PPE purchase."
Turnout Gear,71,72348.42,MOS-96022,"Mossberg Flex Conversion Kit, Stock Adapter, 12GA",67.2,,13,13,681.07,False,0.97,unrelated,"Turnout gear is structural firefighting PPE, while a Mossberg Flex shotgun stock adapter is a firearms accessory for law enforcement/tactical use. They are not used together in the same job function and the pairing is not a required accessory, common field combination, or kit completion for turnout gear purchases."
Turnout Gear,71,72348.42,FNH-98891,"FNH SCAR 17S, 7.62 x 51mm, 10-round Magazine",53.39,,9,29,1548.31,False,0.99,unrelated,"Turnout gear is structural firefighting PPE; an FNH SCAR 17S rifle is a law-enforcement/military firearm and not used with bunker coats/pants in the same job function. Customers purchasing turnout gear would not realistically need a rifle as an upsell, making the pairing random and unprofessional."
Turnout Gear,71,72348.42,MOS-95300,"Mossberg Ghost Ring Sight Kit for 500, 590, 12 Gauge",119.0,,5,5,517.95,False,0.98,unrelated,"Turnout gear is structural firefighting PPE, while a Mossberg ghost ring sight kit is a firearms accessory for law enforcement/tactical use. They are not used together in the same job function and the sight kit is not a required or common add-on for turnout gear purchases."
Helmets,54,65879.22,MOS-95725,"Mossberg 702 Plinkster, .22LR, 25 Round Magazine & Loader",36.4,,31,52,1590.68,False,0.97,unrelated,"Helmets (fire/rescue, industrial, or tactical protective headgear) do not have a direct functional relationship with a Mossberg 702 Plinkster rifle magazine/loader. They are not required accessories, not typically purchased together as part of the same kit, and the pairing is random across job functions."
Helmets,54,65879.22,MOS-95725,"Mossberg 702 Plinkster, .22LR, 25 Round Magazine & Loader",36.4,,31,52,1590.68,False,0.97,unrelated,"Helmets (fire/rescue, industrial, or tactical protective headgear) do not have a direct functional relationship with a Mossberg 702 Plinkster rifle magazine/loader. They are not required accessories, not typically used together as part of the same kit purchase, and this pairing appears random rather than a practical cross-sell."
Helmets,54,65879.22,MOS-95725,"Mossberg 702 Plinkster, .22LR, 25 Round Magazine & Loader",36.4,,31,52,1590.68,False,0.98,unrelated,"Helmets (fire/rescue, tactical, or industrial head protection) are not logically paired with a specific firearm magazine/loader. They are different functions and not a required accessory or common kit completion item for helmet purchases."
Inventory Blowout,54,36135.47,MOS-95725,"Mossberg 702 Plinkster, .22LR, 25 Round Magazine & Loader",36.4,,31,52,1590.68,False,0.86,unrelated,"""Inventory Blowout"" is a broad clearance category with no specific job function or product context, so recommending a specific firearm magazine/loader bundle is effectively random and not a required or commonly paired add-on."
Helmets,54,65879.22,MOS-96022,"Mossberg Flex Conversion Kit, Stock Adapter, 12GA",67.2,,13,13,681.07,False,0.95,unrelated,Helmets (fire/rescue or tactical head protection) are not functionally related to a Mossberg Flex shotgun stock adapter/conversion kit. They are used in different purchase contexts and do not serve as required accessories or commonly paired kit components.
Helmets,54,65879.22,MOS-96022,"Mossberg Flex Conversion Kit, Stock Adapter, 12GA",67.2,,13,13,681.07,False,0.95,unrelated,Helmets (fire/rescue or tactical protective headgear) are not functionally related to a Mossberg Flex shotgun stock adapter/conversion kit. They are not required accessories for each other and typically belong to different purchasing workflows and job functions.
Helmets,54,65879.22,MOS-96022,"Mossberg Flex Conversion Kit, Stock Adapter, 12GA",67.2,,13,13,681.07,False,0.95,unrelated,Helmets (fire/rescue or tactical head protection) are not functionally related to a Mossberg Flex shotgun stock adapter/conversion kit. They are used in different workflows and one is not an accessory or common companion purchase for the other.
Inventory Blowout,54,36135.47,MOS-96022,"Mossberg Flex Conversion Kit, Stock Adapter, 12GA",67.2,,13,13,681.07,False,0.86,unrelated,"""Inventory Blowout"" is a broad clearance category spanning many unrelated items, so recommending a specific Mossberg 12GA stock adapter/conversion kit is not logically tied to what the customer is buying and won’t reliably match the same job function or need."
Inventory Blowout,54,36135.47,TFS-WP-EDGE-ASST,"TheFireStore Deluxe ""Edge"" Upgraded Wack Pack",33.99,Helmets | Accessories,10,10,339.9,False,0.78,unrelated,"""Inventory Blowout"" is a broad clearance category spanning many unrelated items, so recommending a specific fire/rescue pack (Deluxe ""Edge"" Upgraded Wack Pack) is not logically tied to what the customer is buying and will often be random rather than a required/complementary add-on."
Helmets,54,65879.22,FNH-98891,"FNH SCAR 17S, 7.62 x 51mm, 10-round Magazine",53.39,,9,29,1548.31,False,0.98,unrelated,"Helmets are protective PPE used across fire/rescue, industrial safety, and some tactical roles, while an FNH SCAR 17S rifle/magazine is a firearms product for law enforcement/military use. They are not a required accessory pair, not typically purchased together as part of the same kit, and this reads as a random cross-category suggestion."
Helmets,54,65879.22,FNH-98891,"FNH SCAR 17S, 7.62 x 51mm, 10-round Magazine",53.39,,9,29,1548.31,False,0.98,unrelated,"Helmets are protective PPE used across fire/rescue, industrial, and tactical contexts, while an FNH SCAR 17S rifle/magazine is a firearms item specific to law enforcement/military. They are not required accessories for each other, not typically purchased together as part of the same kit, and the pairing appears random for most helmet buyers."
Helmets,54,65879.22,FNH-98891,"FNH SCAR 17S, 7.62 x 51mm, 10-round Magazine",53.39,,9,29,1548.31,False,0.98,unrelated,"Helmets are protective gear used across fire/rescue, industrial safety, and tactical contexts, while an FNH SCAR 17S rifle/magazine is a firearms product for law enforcement/military use. They are not a required accessory pair, not typically purchased together as part of a single kit build, and the recommendation appears random and job-function mismatched for most helmet buyers."
Inventory Blowout,54,36135.47,FNH-98891,"FNH SCAR 17S, 7.62 x 51mm, 10-round Magazine",53.39,,9,29,1548.31,False,0.86,unrelated,"""Inventory Blowout"" is a broad clearance category and does not indicate a specific job function or product need. Recommending a specific firearm magazine (FNH SCAR 17S 10-round) is not a logical accessory/complement to an unknown blowout item and will be random for most buyers."
Helmets,54,65879.22,MOS-95300,"Mossberg Ghost Ring Sight Kit for 500, 590, 12 Gauge",119.0,,5,5,517.95,False,0.95,unrelated,"Helmets are PPE used across fire/EMS/industrial and some tactical contexts, while a Mossberg ghost ring sight kit is a firearm accessory specific to shotgun users. They are not required together, do not complete the same kit, and are not a practical cross-sell for most helmet purchases."
Helmets,54,65879.22,MOS-95300,"Mossberg Ghost Ring Sight Kit for 500, 590, 12 Gauge",119.0,,5,5,517.95,False,0.96,unrelated,"Helmets are PPE used across fire/EMS/industrial and some tactical roles, while a Mossberg ghost ring sight kit is a firearm accessory specific to shotgun platforms. They are not required together, do not complete the same kit, and represent different job functions for most buyers, making the pairing feel random."
Helmets,54,65879.22,MOS-95300,"Mossberg Ghost Ring Sight Kit for 500, 590, 12 Gauge",119.0,,5,5,517.95,False,0.96,unrelated,"Helmets are PPE used across fire/rescue, EMS, industrial safety, and some tactical contexts, while a Mossberg ghost ring sight kit is a firearm accessory specific to shotgun users. They are not required together, do not complete the same kit, and are not a practical cross-sell for most helmet purchases."
Inventory Blowout,54,36135.47,MOS-95300,"Mossberg Ghost Ring Sight Kit for 500, 590, 12 Gauge",119.0,,5,5,517.95,False,0.78,unrelated,"""Inventory Blowout"" is a broad clearance category spanning many unrelated items, so it does not imply the customer is purchasing a Mossberg 500/590 shotgun or related firearms accessories. The Ghost Ring Sight Kit is only relevant to a specific weapon platform and job function (law enforcement/tactical), making this pairing feel random at the category level."
Inventory Blowout,54,36135.47,CL-87,Channellock The 87 Rescue Tool,54.95,Custom Designs | Tools,4,4,232.79,False,0.78,unrelated,"""Inventory Blowout"" is a clearance/discount grouping rather than a specific job-function category, so it doesn’t imply the buyer needs a rescue/extrication tool. The Channellock 87 Rescue Tool is relevant to fire/rescue/EMS use, but pairing it to a generic blowout category is too broad and can feel random unless the blowout items are specifically rescue/forcible-entry related."
Helmets by Brand,52,63716.64,MOS-95725,"Mossberg 702 Plinkster, .22LR, 25 Round Magazine & Loader",36.4,,31,52,1590.68,False,0.95,unrelated,"Helmets by brand (fire/rescue or tactical head protection) do not have a direct, required, or common-use relationship with a specific firearm magazine/loader for a Mossberg 702. This crosses job functions and is not a practical kit-completion or maintenance pairing."
Helmets by Brand,52,63716.64,MOS-96022,"Mossberg Flex Conversion Kit, Stock Adapter, 12GA",67.2,,13,13,681.07,False,0.93,unrelated,Helmets by Brand (fire/rescue or safety head protection) and a Mossberg Flex shotgun stock conversion/adapter are for different job functions and are not required accessories or commonly used together as part of the same kit purchase.
Helmets by Brand,52,63716.64,TFS-WP-EDGE-ASST,"TheFireStore Deluxe ""Edge"" Upgraded Wack Pack",33.99,Helmets | Accessories,10,10,339.9,False,0.78,unrelated,"A helmet purchase is job-function specific (fire/rescue, tactical, industrial), while the ""Deluxe Edge Upgraded Wack Pack"" appears to be a novelty/prop item rather than a required helmet accessory, maintenance item, or kit-completing component. It is not a standard complementary purchase for helmet buyers in professional public safety/industrial contexts."
Helmets by Brand,52,63716.64,FNH-98891,"FNH SCAR 17S, 7.62 x 51mm, 10-round Magazine",53.39,,9,29,1548.31,False,0.97,unrelated,"A helmet purchase (fire/rescue, industrial, or tactical head protection) does not logically require or commonly pair with a specific firearm/magazine product. This crosses job functions and is not a practical kit-completion or required accessory relationship."
Helmets by Brand,52,63716.64,MOS-95300,"Mossberg Ghost Ring Sight Kit for 500, 590, 12 Gauge",119.0,,5,5,517.95,False,0.93,unrelated,"Helmets (fire/rescue or tactical head protection) and a Mossberg ghost ring sight kit (shotgun firearm accessory) are not required accessories for each other and typically serve different purchasing intents. While both could be used by law enforcement, a helmet purchase does not realistically imply a need for a specific shotgun sight kit."
Helmets by Job,46,56854.1,MOS-95725,"Mossberg 702 Plinkster, .22LR, 25 Round Magazine & Loader",36.4,,31,52,1590.68,False,0.97,unrelated,"Helmets by job (fire/rescue, industrial, tactical) are PPE, while a Mossberg 702 Plinkster magazine & loader is a firearms accessory. They are not required together, not part of the same kit build in a typical procurement flow, and this pairing appears random across job functions."
Helmets by Style,46,56854.1,MOS-95725,"Mossberg 702 Plinkster, .22LR, 25 Round Magazine & Loader",36.4,,31,52,1590.68,False,0.95,unrelated,Helmets by Style (fire/rescue or tactical head protection) are not a logical companion to a Mossberg 702 Plinkster .22LR magazine & loader. They serve different functions and job workflows; a helmet buyer would not typically need a specific firearm magazine/loader as a required or common add-on.
Helmets by Job,46,56854.1,MOS-96022,"Mossberg Flex Conversion Kit, Stock Adapter, 12GA",67.2,,13,13,681.07,False,0.93,unrelated,"Helmets by job (fire/EMS/industrial/tactical head protection) are not logically paired with a Mossberg Flex shotgun stock adapter conversion kit. They serve different functions and are not a required accessory or common same-kit add-on for helmet purchases, making the recommendation feel random and unprofessional."
Helmets by Style,46,56854.1,MOS-96022,"Mossberg Flex Conversion Kit, Stock Adapter, 12GA",67.2,,13,13,681.07,False,0.95,unrelated,Helmets by Style (fire/rescue/industrial PPE) and a Mossberg Flex shotgun stock adapter are for different job functions and are not used together or as part of the same kit. A helmet buyer would not realistically need a firearm conversion kit as an upsell.
Helmets by Job,46,56854.1,TFS-WP-EDGE-ASST,"TheFireStore Deluxe ""Edge"" Upgraded Wack Pack",33.99,Helmets | Accessories,10,10,339.9,False,0.72,unrelated,"A helmet purchase is job-specific PPE, while the Deluxe ""Edge"" Upgraded Wack Pack appears to be a novelty/impulse item rather than a required or commonly paired helmet accessory. It does not clearly support the same operational need or complete a helmet kit in a professional way."
Helmets by Job,46,56854.1,FNH-98891,"FNH SCAR 17S, 7.62 x 51mm, 10-round Magazine",53.39,,9,29,1548.31,False,0.97,unrelated,"Helmets by job (fire/EMS/industrial/tactical head protection) are PPE, while an FNH SCAR 17S rifle magazine is a firearms accessory. They are not required accessories for each other and are not a standard together-in-the-field pairing across the same purchase intent; this reads as random and potentially inappropriate for many helmet buyers."
Helmets by Style,46,56854.1,FNH-98891,"FNH SCAR 17S, 7.62 x 51mm, 10-round Magazine",53.39,,9,29,1548.31,False,0.96,unrelated,"Helmets by style are PPE used across fire/rescue, industrial safety, and some tactical roles, while an FNH SCAR 17S 10-round magazine is a firearm accessory specific to a particular weapon platform. They are not required together, not a common same-kit pairing, and the recommendation appears random and potentially inappropriate for many helmet buyers."
Helmets by Job,46,56854.1,MOS-95300,"Mossberg Ghost Ring Sight Kit for 500, 590, 12 Gauge",119.0,,5,5,517.95,False,0.93,unrelated,Helmets by job (fire/EMS/industrial/tactical head protection) are not functionally related to a Mossberg 12-gauge ghost ring sight kit (firearms accessory). They are different job functions and not required together as part of a typical kit purchase.
Helmets by Style,46,56854.1,MOS-95300,"Mossberg Ghost Ring Sight Kit for 500, 590, 12 Gauge",119.0,,5,5,517.95,False,0.95,unrelated,Helmets (fire/rescue or tactical head protection) and a Mossberg ghost ring sight kit (firearm accessory) are not required together and typically serve different procurement needs; recommending a shotgun sight kit to someone shopping helmets is random and not a practical kit-completion pairing.
New Products,44,15838.85,MOS-95725,"Mossberg 702 Plinkster, .22LR, 25 Round Magazine & Loader",36.4,,31,52,1590.68,False,0.9,unrelated,"""New Products"" is a broad, non-functional source category; recommending a specific firearm magazine/loader is not a logical accessory or complementary add-on for most items a customer might be viewing in New Products, making the pairing feel random and not job-function consistent."
New Products,44,15838.85,MOS-96022,"Mossberg Flex Conversion Kit, Stock Adapter, 12GA",67.2,,13,13,681.07,False,0.86,unrelated,"""New Products"" is a broad, non-functional source category; a Mossberg Flex Conversion Kit is a specific firearms accessory relevant mainly to law enforcement/tactical users. Without knowing the customer is buying a Mossberg shotgun or related firearm components, this reads as random rather than a required or commonly paired add-on."
New Products,44,15838.85,TFS-WP-EDGE-ASST,"TheFireStore Deluxe ""Edge"" Upgraded Wack Pack",33.99,Helmets | Accessories,10,10,339.9,False,0.78,unrelated,"""New Products"" is a broad, non-specific source category, so recommending a specific fire/rescue pack (Deluxe ""Edge"" Upgraded Wack Pack) is not reliably complementary or required. It may fit some buyers, but as a category-level upsell it’s too random and not tied to a clear job function or need."
New Products,44,15838.85,FNH-98891,"FNH SCAR 17S, 7.62 x 51mm, 10-round Magazine",53.39,,9,29,1548.31,False,0.9,unrelated,"""New Products"" is a broad, non-specific source category, so recommending a specific firearm magazine is not logically tied to what the customer is buying. It’s not a required accessory or common companion item unless the source product is explicitly a SCAR 17S rifle or related platform."
New Products,44,15838.85,MOS-95300,"Mossberg Ghost Ring Sight Kit for 500, 590, 12 Gauge",119.0,,5,5,517.95,False,0.86,unrelated,"""New Products"" is a broad, non-functional source category; a Mossberg ghost ring sight kit is a specific firearms accessory relevant only to customers purchasing compatible Mossberg 500/590 shotguns or related parts. Without that context, the pairing is effectively random and not a reliable cross-sell."
New Products,44,15838.85,CL-87,Channellock The 87 Rescue Tool,54.95,Custom Designs | Tools,4,4,232.79,False,0.78,unrelated,"""New Products"" is a broad, non-functional source category; without knowing the specific item being purchased, recommending a specialized extrication/rescue tool is not logically complementary and will often be irrelevant to many new-product purchases."
Leather Helmets,42,56387.43,MOS-95725,"Mossberg 702 Plinkster, .22LR, 25 Round Magazine & Loader",36.4,,31,52,1590.68,False,0.98,unrelated,"Leather helmets are fire/rescue PPE, while the Mossberg 702 Plinkster (.22LR) with magazine/loader is a firearm product for law enforcement/tactical or recreational use. They are not used together in the same job function and the pairing is random rather than a practical accessory or kit completion."
All Leather Helmets,42,56387.43,MOS-95725,"Mossberg 702 Plinkster, .22LR, 25 Round Magazine & Loader",36.4,,31,52,1590.68,False,0.98,unrelated,"All leather helmets are fire/rescue PPE, while the Mossberg 702 Plinkster is a firearm product for law enforcement/tactical or recreational use. They are not used together in the same job function and the pairing is random rather than a required accessory or kit-completer."
Leather Helmets,42,56387.43,MOS-96022,"Mossberg Flex Conversion Kit, Stock Adapter, 12GA",67.2,,13,13,681.07,False,0.97,unrelated,"Leather helmets are fire/rescue PPE, while a Mossberg Flex conversion kit is a firearms accessory for law enforcement/tactical use. They are not used together in the same job function and there is no practical accessory or kit-completion relationship."
All Leather Helmets,42,56387.43,MOS-96022,"Mossberg Flex Conversion Kit, Stock Adapter, 12GA",67.2,,13,13,681.07,False,0.94,unrelated,"All leather helmets are primarily fire/rescue PPE, while a Mossberg Flex conversion kit is a firearms accessory for law enforcement/tactical use. They are not used together in the same job function and the pairing appears random rather than a practical add-on."
Leather Helmets,42,56387.43,FNH-98891,"FNH SCAR 17S, 7.62 x 51mm, 10-round Magazine",53.39,,9,29,1548.31,False,0.98,unrelated,"Leather helmets are fire/rescue PPE, while an FNH SCAR 17S rifle is a law-enforcement/military firearm product. They are not used together in the same job function, are not accessories to each other, and the pairing would feel random and unprofessional for an upsell."
All Leather Helmets,42,56387.43,FNH-98891,"FNH SCAR 17S, 7.62 x 51mm, 10-round Magazine",53.39,,9,29,1548.31,False,0.98,unrelated,"All Leather Helmets are fire/rescue PPE, while the FNH SCAR 17S rifle is a law enforcement/military firearm. They are not used together in the same job function and the pairing is not a required accessory, common field complement, or kit completion for helmet buyers."
Leather Helmets,42,56387.43,MOS-95300,"Mossberg Ghost Ring Sight Kit for 500, 590, 12 Gauge",119.0,,5,5,517.95,False,0.97,unrelated,"Leather helmets are fire/rescue PPE, while a Mossberg ghost ring sight kit is a firearms accessory for law enforcement/tactical use. They are not used together in the same job function and a buyer of a leather fire helmet would not realistically need a shotgun sight kit as an upsell."
All Leather Helmets,42,56387.43,MOS-95300,"Mossberg Ghost Ring Sight Kit for 500, 590, 12 Gauge",119.0,,5,5,517.95,False,0.95,unrelated,"All Leather Helmets are fire/rescue PPE, while a Mossberg ghost ring sight kit is a firearms accessory for law enforcement/tactical use. They are not used together in the same job function and the pairing appears random rather than a required or complementary add-on."
Structural Fire Helmets,38,53729.19,MOS-95725,"Mossberg 702 Plinkster, .22LR, 25 Round Magazine & Loader",36.4,,31,52,1590.68,False,0.98,unrelated,"Structural fire helmets are fire/rescue PPE, while the Mossberg 702 Plinkster firearm is law-enforcement/tactical/recreational and not a required accessory or commonly paired item for structural firefighting. The job functions and use cases do not overlap in a practical way for an upsell."
Structural Fire Helmets,38,53729.19,MOS-96022,"Mossberg Flex Conversion Kit, Stock Adapter, 12GA",67.2,,13,13,681.07,False,0.95,unrelated,"Structural fire helmets are fire/rescue PPE, while a Mossberg Flex 12GA stock adapter is a firearms accessory for law enforcement/tactical use. They are not used together in the same job function and the pairing appears random rather than a practical accessory or kit completion."
